key,location.lat,location.long,location.pcode,location.name,so2,no2,pm25,co,o3,aqi
29,-4.5612094,21,62800-000,Aracati,821.287,78.009,124.008,10.974,267.987,226.303
30,10.9005556,67,3200,Pancol,1469.45,194.534,64.775,2.223,580.672,792.724
31,1.5484759,11,80560,Johor Bahru,397.532,362.612,106.189,31.417,207.228,607.488
32,19.804587,58,,Mutang,360.782,148.965,204.247,28.211,383.871,700.497
33,-3.9879753,69,,Catamayo,1192.256,287.1,258.962,6.659,474.204,285.797
34,-21.8239574,67,13650-000,Santa Cruz das Palmeiras,1830.211,121.496,86.119,11.5,72.108,251.533
35,28.201091,81,,Xiaozhoushan,972.479,283.54,139.647,34.33,319.788,773.469
36,7.5273576,23,8112,Santo Tomas,889.846,429.057,53.56,2.086,611.937,529.42
37,-8.5705,66,,Keroak,1840.482,272.268,222.564,19.381,619.133,604.455
38,-8.1067604,89,,Sumbergayam,1308.644,257.229,54.446,26.658,479.653,247.193
39,10.2511369,76,6046,Minglanilla,1480.316,405.179,161.764,4.357,713.308,360.568
40,-31.1394114,88,2568,Morrison,1473.338,429.195,244.827,21.254,612.935,529.532
41,5.4328871,33,,Abobo,144.538,178.181,78.268,5.274,444.758,522.165
42,49.2059545,19,JE3,Saint Helier,340.086,384.607,72.766,7.717,352.386,205.916
43,43.5336719,57,7219,Razgrad,111.103,78.267,89.727,32.733,91.654,162.537
44,47.8075,14,346536,Talovyy,1524.222,267.348,67.929,16.102,442.673,475.531
45,53.1570421,18,,Dowsk,1842.175,53.979,91.884,27.361,50.411,661.573
46,-7.6181938,48,,Klapagada,1793.301,348.946,211.67,34.678,304.557,231.898
47,48.32643,42,,Simeykyne,196.289,214.911,189.469,29.982,302.426,325.597
48,32.504051,22,,Fangxiang,181.783,39.239,129.411,7.451,425.857,400.349
49,26.694208,83,,Diaofeng,1395.749,346.547,140.518,2.71,214.296,137.817
50,34.4344694,13,729-0141,Onomichi,579.293,170.145,284.176,32.005,699.897,858.222
51,5.329576,80,20668,Kuala Terengganu,1704.438,3.864,295.459,21.841,115.609,403.87
52,34.1009765,32,,Yuzhai,794.342,194.536,247.504,17.152,383.843,457.88
53,38.569555,52,,Zhaitou,827.037,162.815,272.839,23.334,422.827,62.378
54,17.6891622,67,29970,La Libertad,1163.497,261.882,279.027,20.616,201.418,139.185
55,41.1829232,82,,Librazhd,428.296,88.426,65.635,1.59,73.708,461.903
56,-6.2904222,34,,Rancasadang,1699.739,240.979,202.943,17.967,332.01,196.45
57,24.4571847,67,2234,Gafargaon,345.274,162.127,135.821,24.006,573.795,645.491
58,-5.456385,10,,Banjar Bau Kawan,1417.284,135.498,61.26,7.186,338.701,780.971
59,46.0765073,72,E3G,Fredericton,270.242,113.826,173.881,34.731,334.766,572.733
60,-28.5757953,20,,Vallenar,898.023,430.069,44.925,25.044,237.531,403.978
61,49.0871049,66,27309 CEDEX,Bernay,442.258,375.617,154.495,3.093,612.754,303.065
62,47.4303768,54,,Dniprovka,1368.89,247.746,142.7,27.5,399.766,551.169
63,56.947079,87,,Jūrmala,812.385,341.591,55.713,26.699,535.626,724.092
64,34.6911,75,,Daitou,1504.283,86.165,256.359,11.623,511.183,581.079
65,51.820919,74,396130,Uglyanets,1447.557,425.908,115.173,34.354,206.58,101.178
66,-8.7149312,87,,Beraim,415.625,333.259,40.958,32.136,84.039,558.447
67,47.3752386,17,34940 CEDEX 9,Montpellier,282.041,370.679,145.719,3.28,646.168,641.058
68,5.3347,53,,Tunggar,1177.064,439.863,270.146,7.771,214.205,793.517
69,-22.6926814,55,86660-000,Santa Inês,1071.536,361.033,243.003,34.425,462.823,874.844
70,35.0435187,88,,Asímion,800.38,314.824,209.667,33.981,189.572,638.829
71,64.1405188,63,172,Seltjarnarnes,1073.661,339.553,37.976,22.562,613.094,592.669
72,18.9495378,40,11705,Pedro Santana,991.433,274.558,131.622,21.801,596.63,890.583
73,39.8037641,86,,Makrychóri,417.601,420.402,53.584,10.882,455.56,516.56
74,9.9886653,49,2806,Pidigan,1862.185,388.711,41.091,32.165,550.974,806.334
75,37.646108,63,,Longkou,908.145,374.854,187.747,36.352,83.147,848.539
76,58.0780287,31,524 32,Herrljunga,316.725,301.617,65.232,8.774,100.699,655.299
77,-32.7071454,11,5760,Adelaide,536.204,224.233,104.359,28.128,99.067,265.692
78,42.9600774,67,,Mojkovac,1769.04,275.741,181.379,38.779,614.352,652.51
79,-22.9941291,15,86130-000,Bela Vista do Paraíso,861.792,238.953,184.793,2.159,708.426,100.608
80,8.2796966,17,,San Silvestre,1599.183,376.78,230.171,11.877,224.951,152.387
81,-23.4543148,71,07000-000,Guarulhos,1886.77,367.891,183.387,35.959,174.889,748.296
82,29.421736,12,,Fenggao,540.466,412.252,224.927,25.065,172.425,233.433
83,35.3,54,,Stalís,1683.063,243.745,41.732,24.58,662.034,340.355
84,54.1456181,17,450075,Lukhovka,1756.129,389.309,101.516,2.202,406.862,871.589
85,-28.6454883,53,98000-000,Cruz Alta,1728.601,100.514,115.224,18.164,529.292,299.129
86,-19.9640617,17,34400-000,Raposos,965.573,428.563,57.775,17.831,64.179,535.365
87,5.7577596,34,20710,Kuala Terengganu,75.697,246.979,137.681,16.451,740.941,782.615
88,-16.4,53,,Chojata,123.842,370.206,170.453,38.178,651.962,351.098
89,39.847805,80,,Dahongmen,751.576,48.662,148.013,11.844,316.338,301.057
90,45.2911425,59,,Mošorin,1584.47,132.453,83.593,30.378,695.143,790.966
91,59.3635749,54,169 35,Solna,1277.522,178.619,270.309,17.73,487.007,504.731
92,22.6611943,50,22010,Jerez,1557.021,363.581,88.619,8.62,374.033,411.057
93,49.5474598,65,593 01,Ždánice,1223.627,189.94,37.52,26.549,208.337,58.571
94,56.290878,11,,Preiļi,330.597,248.135,241.606,19.473,211.445,188.247
95,-6.2614858,46,,Cisoka,611.848,325.093,296.011,3.697,474.938,662.818
96,51.524571,23,,Sosnytsya,1709.286,137.63,298.016,13.638,194.385,444.602
97,52.3738284,69,4829,Breda,879.202,332.428,260.137,6.659,425.599,405.338
98,37.8956594,25,,Hebei,97.078,278.837,61.01,20.976,214.179,143.204
99,-17.72332,82,,Afaahiti,1710.963,73.547,206.534,34.096,638.287,213.532
100,-6.9424923,23,,Bogorejo,1853.507,408.379,98.978,24.423,392.897,447.586
